fighter_id,name,height,weight,reach,age,image_path,stance_orthodox,stance_southpaw,weight_class_featherweight,weight_class_heavyweight,weight_class_light_heavyweight,weight_class_lightweight,weight_class_middleweight,weight_class_unknown,weight_class_welterweight
206,Rolando Dy,4.37,65.8,4.59,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
207,Frankie Edgar,4.24,65.8,4.45,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
208,Abdul-Kerim Edilov,4.7,93.0,4.94,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
209,Johnny Eduardo,4.32,61.2,4.54,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
210,Leon Edwards,4.62,77.1,4.85,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
211,Te Edwards,4.37,70.3,4.59,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
212,Darren Elkins,4.5,65.8,4.73,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
213,Jake Ellenberger,4.44,77.1,4.66,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
214,Joe Ellenberger,4.44,70.3,4.66,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
215,Tim Elliott,4.32,56.7,4.54,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
216,Ramazan Emeev,4.5,83.9,4.73,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
217,Jamall Emmers,4.5,65.8,4.73,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
218,Josh Emmett,4.24,65.8,4.45,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
219,Oliver Enkamp,4.62,77.1,4.85,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
220,Julian Erosa,4.7,65.8,4.94,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
221,Carla Esparza,3.91,52.2,4.11,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
222,Jordan Espinosa,4.24,56.7,4.45,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
223,Jodie Esquibel,4.06,52.2,4.26,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
224,Sijara Eubanks,4.11,56.7,4.32,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
225,Rashad Evans,4.62,93.0,4.85,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
226,Ashlee Evans-Smith,4.37,56.7,4.59,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
227,Tonya Evinger,4.32,61.2,4.54,30,static/images/default_fighter.jpg,True,False,False,False,False,False,False,True,False
