fighter_id,name,height,weight,reach,stance,age,weight_class,image_path
173,Brandon Davis,4.5,65.8,4.73,orthodox,30,unknown,static/images/default_fighter.jpg
174,Mike Davis,4.62,65.8,4.85,orthodox,30,unknown,static/images/default_fighter.jpg
175,Hakeem Dawodu,4.37,65.8,4.59,orthodox,30,unknown,static/images/default_fighter.jpg
176,Grant Dawson,4.5,65.8,4.73,orthodox,30,unknown,static/images/default_fighter.jpg
177,Martin Day,4.44,56.7,4.66,orthodox,30,unknown,static/images/default_fighter.jpg
178,Angel De Anda,4.44,102.1,4.66,orthodox,30,unknown,static/images/default_fighter.jpg
179,Chris De La Rocha,4.9,113.4,5.15,orthodox,30,unknown,static/images/default_fighter.jpg
180,Mark De La Rosa,4.24,56.7,4.45,orthodox,30,unknown,static/images/default_fighter.jpg
181,Montana De La Rosa,4.32,56.7,4.54,orthodox,30,unknown,static/images/default_fighter.jpg
182,Marcos Rogerio De,4.7,93.0,4.94,orthodox,30,unknown,static/images/default_fighter.jpg
183,Germaine de Randam,4.44,61.2,4.66,orthodox,30,unknown,static/images/default_fighter.jpg
184,Mackenzie Dern,4.11,52.2,4.32,orthodox,30,unknown,static/images/default_fighter.jpg
185,Alessio Di Chirico,4.62,83.9,4.85,orthodox,30,unknown,static/images/default_fighter.jpg
186,Marc Diakiese,4.5,70.3,4.73,orthodox,30,unknown,static/images/default_fighter.jpg
187,Tyler Diamond,4.32,65.8,4.54,orthodox,30,unknown,static/images/default_fighter.jpg
188,Hacran Dias,4.37,70.3,4.59,orthodox,30,unknown,static/images/default_fighter.jpg
189,Adrian Diaz,4.5,65.8,4.73,orthodox,30,unknown,static/images/default_fighter.jpg
190,Nate Diaz,4.62,77.1,4.85,orthodox,30,unknown,static/images/default_fighter.jpg
191,Nick Diaz,4.62,83.9,4.85,orthodox,30,unknown,static/images/default_fighter.jpg
192,TJ Dillashaw,4.24,61.2,4.45,orthodox,30,unknown,static/images/default_fighter.jpg
193,Rico DiSciullo,8.69,31.3,9.12,orthodox,30,unknown,static/images/default_fighter.jpg
194,Russell Doane,4.32,61.2,4.54,orthodox,30,unknown,static/images/default_fighter.jpg
195,Drew Dober,4.37,77.1,4.59,orthodox,30,unknown,static/images/default_fighter.jpg
196,Shana Dobson,4.24,56.7,4.45,orthodox,30,unknown,static/images/default_fighter.jpg
197,John Dodson,4.06,61.2,4.26,orthodox,30,unknown,static/images/default_fighter.jpg
198,CB Dollaway,4.75,83.9,4.99,orthodox,30,unknown,static/images/default_fighter.jpg
199,Rafael Dos Anjos,4.37,77.1,4.59,orthodox,30,unknown,static/images/default_fighter.jpg
200,Junior Dos Santos,4.9,108.0,5.15,orthodox,30,unknown,static/images/default_fighter.jpg
201,Todd Duffee,4.83,117.9,5.07,orthodox,30,unknown,static/images/default_fighter.jpg
202,Joe Duffy,4.5,70.3,4.73,orthodox,30,unknown,static/images/default_fighter.jpg
203,Evan Dunham,4.5,70.3,4.73,orthodox,30,unknown,static/images/default_fighter.jpg
204,Tom Duquesnoy,4.32,61.2,4.54,orthodox,30,unknown,static/images/default_fighter.jpg
205,Merab Dvalishvili,4.24,61.2,4.45,orthodox,30,unknown,static/images/default_fighter.jpg
206,Rolando Dy,4.37,65.8,4.59,orthodox,30,unknown,static/images/default_fighter.jpg
207,Frankie Edgar,4.24,65.8,4.45,orthodox,30,unknown,static/images/default_fighter.jpg
208,Abdul-Kerim Edilov,4.7,93.0,4.94,orthodox,30,unknown,static/images/default_fighter.jpg
209,Johnny Eduardo,4.32,61.2,4.54,orthodox,30,unknown,static/images/default_fighter.jpg
210,Leon Edwards,4.62,77.1,4.85,orthodox,30,unknown,static/images/default_fighter.jpg
211,Te Edwards,4.37,70.3,4.59,orthodox,30,unknown,static/images/default_fighter.jpg
212,Darren Elkins,4.5,65.8,4.73,orthodox,30,unknown,static/images/default_fighter.jpg
213,Jake Ellenberger,4.44,77.1,4.66,orthodox,30,unknown,static/images/default_fighter.jpg
214,Joe Ellenberger,4.44,70.3,4.66,orthodox,30,unknown,static/images/default_fighter.jpg
215,Tim Elliott,4.32,56.7,4.54,orthodox,30,unknown,static/images/default_fighter.jpg
216,Ramazan Emeev,4.5,83.9,4.73,orthodox,30,unknown,static/images/default_fighter.jpg
217,Jamall Emmers,4.5,65.8,4.73,orthodox,30,unknown,static/images/default_fighter.jpg
218,Josh Emmett,4.24,65.8,4.45,orthodox,30,unknown,static/images/default_fighter.jpg
219,Oliver Enkamp,4.62,77.1,4.85,orthodox,30,unknown,static/images/default_fighter.jpg
220,Julian Erosa,4.7,65.8,4.94,orthodox,30,unknown,static/images/default_fighter.jpg
221,Carla Esparza,3.91,52.2,4.11,orthodox,30,unknown,static/images/default_fighter.jpg
222,Jordan Espinosa,4.24,56.7,4.45,orthodox,30,unknown,static/images/default_fighter.jpg
223,Jodie Esquibel,4.06,52.2,4.26,orthodox,30,unknown,static/images/default_fighter.jpg
224,Sijara Eubanks,4.11,56.7,4.32,orthodox,30,unknown,static/images/default_fighter.jpg
225,Rashad Evans,4.62,93.0,4.85,orthodox,30,unknown,static/images/default_fighter.jpg
226,Ashlee Evans-Smith,4.37,56.7,4.59,orthodox,30,unknown,static/images/default_fighter.jpg
227,Tonya Evinger,4.32,61.2,4.54,orthodox,30,unknown,static/images/default_fighter.jpg
